LOCATION,TIME,Unemployment,CPI,P/E,Open,High,Low,Close
USA,2008-07,5.8,5.600123,25.37,1266.79,1292.17,1200.44,1267.38
USA,2008-08,6.1,5.371855,26.83,1270.52,1313.15,1247.45,1282.83
USA,2008-09,6.1,4.936927,26.48,1298.33,1303.04,1106.39,1166.36
USA,2008-10,6.5,3.655186,27.22,1154.7,1167.03,839.8,968.75
USA,2008-11,6.8,1.069575,34.99,968.24,1007.51,741.02,896.24
USA,2008-12,7.3,0.0914129,58.98,870.24,918.85,815.69,903.25
USA,2009-01,7.8,0.0298465,70.91,904.61,943.85,804.3,825.88
USA,2009-02,8.3,0.2361911,84.46,815.11,875.01,734.52,735.09
USA,2009-03,8.7,-0.3835562,110.37,719.75,832.98,666.79,797.87
USA,2009-04,9,-0.7368857,119.85,785.01,888.7,783.32,872.81
USA,2009-05,9.4,-1.281436,123.73,873,930.17,866.1,919.14
USA,2009-06,9.5,-1.426776,123.32,932.42,956.23,888.86,919.32
USA,2009-07,9.5,-2.097161,101.87,925.03,996.68,869.32,987.48
USA,2009-08,9.6,-1.484349,92.95,998.22,1039.47,978.51,1020.62
USA,2009-09,9.8,-1.286206,83.3,1015.88,1080.15,991.97,1057.08
USA,2009-10,10,-0.1828483,42.12,1052.8,1101.36,1019.95,1036.19
USA,2009-11,9.9,1.838296,28.51,1040.8,1113.69,1029.38,1095.63
USA,2009-12,9.9,2.721331,21.78,1098.89,1130.38,1085.89,1115.1
USA,2010-01,9.8,2.625709,20.7,1116.56,1150.45,1071.59,1073.87
USA,2010-02,9.8,2.143332,18.91,1073.89,1112.42,1044.5,1104.49
USA,2010-03,9.9,2.313959,18.91,1105.36,1180.69,1105.36,1169.43
USA,2010-04,9.9,2.236447,19.01,1171.23,1218.8,1170.69,1186.69
USA,2010-05,9.6,2.020986,17.3,1188.58,1205.13,1040.78,1089.41
USA,2010-06,9.4,1.053349,16.15,1087.3,1131.23,1028.33,1030.71
USA,2010-07,9.4,1.235193,15.72,1031.1,1120.95,1010.91,1101.6
USA,2010-08,9.5,1.148105,15.47,1107.53,1129.24,1039.7,1049.33
USA,2010-09,9.5,1.143683,15.61,1049.72,1157.16,1049.72,1141.2
USA,2010-10,9.4,1.172188,15.9,1143.49,1196.14,1131.87,1183.26
USA,2010-11,9.8,1.143161,15.88,1185.71,1227.08,1173,1180.55
USA,2010-12,9.3,1.495723,16.05,1186.6,1262.6,1186.6,1257.64
USA,2011-01,9.1,1.631847,16.3,1257.62,1302.67,1257.62,1286.12
USA,2011-02,9,2.107585,16.52,1289.14,1344.07,1289.14,1327.22
USA,2011-03,9,2.681603,16.04,1328.64,1332.28,1249.05,1325.83
USA,2011-04,9.1,3.163631,16.21,1329.48,1364.56,1294.7,1363.61
USA,2011-05,9,3.568646,16.12,1365.21,1370.58,1311.8,1345.2
USA,2011-06,9.1,3.558828,15.35,1345.2,1345.2,1258.07,1320.64
USA,2011-07,9,3.628716,15.61,1320.64,1356.48,1282.86,1292.28
USA,2011-08,9,3.771208,13.79,1292.59,1307.38,1101.54,1218.89
USA,2011-09,9,3.868357,13.5,1219.12,1229.29,1114.22,1131.42
USA,2011-10,8.8,3.5252,13.88,1131.21,1292.66,1074.77,1253.3
USA,2011-11,8.6,3.394378,14.1,1251,1277.55,1158.66,1246.96
USA,2011-12,8.5,2.962419,14.3,1246.91,1269.37,1202.37,1257.6
USA,2012-01,8.3,2.925217,14.87,1258.86,1333.47,1258.86,1312.41
USA,2012-02,8.3,2.871099,15.37,1312.45,1378.04,1312.45,1365.68
USA,2012-03,8.2,2.651398,15.69,1365.9,1419.15,1340.03,1408.47
USA,2012-04,8.2,2.30274,15.7,1408.47,1422.38,1357.38,1397.91
USA,2012-05,8.2,1.704254,15.22,1397.86,1415.32,1291.98,1310.33
USA,2012-06,8.2,1.663994,15.05,1309.87,1363.46,1266.74,1362.16
USA,2012-07,8.2,1.408451,15.55,1362.33,1391.74,1325.41,1379.32
USA,2012-08,8.1,1.692379,16.14,1379.32,1426.68,1354.65,1406.58
USA,2012-09,7.8,1.991282,16.69,1406.54,1474.51,1396.56,1440.67
USA,2012-10,7.8,2.162344,16.62,1440.9,1470.96,1403.28,1412.16
USA,2012-11,7.7,1.764134,16.12,1410.99,1434.27,1343.35,1416.18
USA,2012-12,7.9,1.741022,16.44,1416.34,1448,1398.11,1426.19
USA,2013-01,8,1.594865,17.03,1426.19,1509.94,1426.19,1498.11
USA,2013-02,7.7,1.977924,17.32,1498.11,1530.94,1485.01,1514.68
USA,2013-03,7.5,1.473896,17.68,1514.68,1570.28,1501.48,1569.19
USA,2013-04,7.6,1.063085,17.69,1569.18,1597.57,1536.03,1597.57
USA,2013-05,7.5,1.361965,18.25,1597.55,1687.18,1581.28,1630.74
USA,2013-06,7.5,1.754417,17.8,1631.71,1654.19,1560.33,1606.28
USA,2013-07,7.3,1.960682,18.12,1609.78,1698.78,1604.57,1685.73
USA,2013-08,7.2,1.518368,17.91,1689.42,1709.67,1627.47,1632.97
USA,2013-09,7.2,1.184925,17.88,1635.95,1729.86,1633.41,1681.55
USA,2013-10,7.2,0.9636127,17.86,1682.41,1775.22,1646.47,1756.54
USA,2013-11,6.9,1.237072,18.15,1758.7,1813.55,1746.2,1805.81
USA,2013-12,6.7,1.501736,18.04,1806.55,1849.44,1767.99,1848.36
USA,2014-01,6.6,1.578947,18.15,1845.86,1850.84,1770.45,1782.59
USA,2014-02,6.7,1.126349,18.06,1782.68,1867.92,1737.92,1859.45
USA,2014-03,6.7,1.512203,18.48,1857.68,1883.97,1834.44,1872.34
USA,2014-04,6.2,1.952858,18.35,1873.96,1897.28,1814.36,1883.95
USA,2014-05,6.3,2.127111,18.46,1884.39,1924.03,1859.79,1923.57
USA,2014-06,6.1,2.072341,18.88,1923.87,1968.17,1915.98,1960.23
USA,2014-07,6.2,1.992329,18.96,1962.29,1991.39,1930.67,1930.67
USA,2014-08,6.1,1.699611,18.68,1929.8,2005.04,1904.78,2003.37
USA,2014-09,5.9,1.657919,18.81,2004.07,2019.26,1964.04,1972.29
USA,2014-10,5.7,1.66434,18.5,1971.44,2018.19,1820.66,2018.05
USA,2014-11,5.8,1.322355,19.75,2018.21,2075.76,2001.01,2067.56
USA,2014-12,5.6,0.7564933,20.08,2065.78,2093.55,1972.56,2058.9
USA,2015-01,5.7,-0.08934832,20.02,2058.9,2072.36,1988.12,1994.99
USA,2015-02,5.5,-0.0251298,20.77,1996.67,2119.59,1980.9,2104.5
USA,2015-03,5.4,-0.07363739,20.96,2105.23,2117.52,2039.69,2067.89
USA,2015-04,5.4,-0.1995174,21.42,2067.63,2125.92,2048.38,2085.51
USA,2015-05,5.6,-0.03993275,21.92,2087.38,2134.72,2067.93,2107.39
USA,2015-06,5.3,0.1237712,22.12,2108.64,2129.87,2056.32,2063.11
USA,2015-07,5.2,0.1695698,22.4,2067,2132.82,2044.02,2103.84
USA,2015-08,5.1,0.1950793,22.15,2104.49,2112.66,1867.01,1972.18
USA,2015-09,5,-0.03612975,21.45,1970.09,2020.86,1871.91,1920.03
USA,2015-10,5,0.1705744,22.68,1919.65,2094.32,1893.7,2079.36
USA,2015-11,5.1,0.5017976,23.67,2080.76,2116.48,2019.39,2080.41
USA,2015-12,5,0.7295198,23.74,2082.93,2104.27,1993.26,2043.94
USA,2016-01,4.8,1.373087,22.18,2038.2,2038.2,1812.29,1940.24
USA,2016-02,4.9,1.0178,22.02,1936.94,1962.96,1810.1,1932.23
USA,2016-03,5,0.8525362,23.39,1937.09,2072.21,1937.09,2059.74
USA,2016-04,5.1,1.12511,23.97,2056.62,2111.05,2033.8,2065.3
USA,2016-05,4.8,1.019323,23.81,2067.17,2103.48,2025.91,2096.96
USA,2016-06,4.9,0.9973265,23.97,2093.94,2120.55,1991.68,2098.86
USA,2016-07,4.8,0.8271388,24.52,2099.34,2177.09,2074.02,2173.6
USA,2016-08,4.9,1.062875,24.57,2173.15,2193.81,2147.58,2170.95
USA,2016-09,5,1.463784,24.22,2171.33,2187.87,2119.12,2168.27
USA,2016-10,4.9,1.635988,23.57,2164.33,2169.6,2114.74,2126.15
USA,2016-11,4.7,1.692537,23.35,2128.68,2214.1,2083.79,2198.81
USA,2016-12,4.7,2.074622,23.76,2200.17,2277.53,2187.44,2238.83
USA,2017-01,4.7,2.500042,23.59,2251.57,2300.99,2245.13,2278.87
USA,2017-02,4.6,2.737958,23.68,2285.59,2371.54,2271.65,2363.64
USA,2017-03,4.4,2.380612,23.6,2380.13,2400.98,2322.25,2362.72
USA,2017-04,4.4,2.19969,23.24,2362.34,2398.16,2328.95,2384.2
USA,2017-05,4.4,1.874878,23.31,2388.5,2418.71,2352.72,2411.8
USA,2017-06,4.3,1.633488,23.4,2415.65,2453.82,2405.7,2423.41
USA,2017-07,4.3,1.727978,23.36,2431.39,2484.04,2407.7,2470.3
USA,2017-08,4.4,1.938974,23.16,2477.1,2490.87,2417.35,2471.65
USA,2017-09,4.3,2.232964,23.28,2474.42,2519.44,2446.55,2519.36
USA,2017-10,4.2,2.041129,23.67,2521.2,2582.98,2520.4,2575.26
USA,2017-11,4.2,2.202583,23.81,2583.21,2657.74,2557.45,2647.58
USA,2017-12,4.1,2.109082,24.25,2645.1,2694.97,2605.52,2673.61
USA,2018-01,4,2.070508,24.97,2683.73,2872.87,2682.36,2823.81
USA,2018-02,4.1,2.211795,23.82,2816.45,2835.96,2532.69,2713.83
USA,2018-03,4,2.359711,23.41,2715.22,2801.9,2585.89,2640.87
USA,2018-04,4,2.462744,22.53,2633.45,2717.49,2553.8,2648.05
USA,2018-05,3.8,2.801012,22.49,2643.64,2742.24,2594.62,2705.27
USA,2018-06,4,2.871548,22.49,2718.7,2791.47,2691.99,2718.37
USA,2018-07,3.8,2.949515,22.33,2704.95,2848.03,2698.95,2816.29
USA,2018-08,3.8,2.69918,22.37,2821.17,2916.5,2796.34,2901.52
USA,2018-09,3.7,2.276972,22.25,2896.96,2940.91,2864.12,2913.98
USA,2018-10,3.8,2.52247,21.25,2926.29,2939.86,2603.54,2711.74
USA,2018-11,3.8,2.176601,20.67,2717.58,2815.15,2631.09,2760.17
USA,2018-12,3.9,1.910159,19.39,2790.5,2800.18,2346.58,2506.85
USA,2019-01,4,1.551235,19.6,2476.96,2708.95,2443.96,2704.1
USA,2019-02,3.8,1.520135,20.6,2702.32,2813.49,2681.83,2784.49
USA,2019-03,3.8,1.862523,20.86,2798.22,2860.31,2722.27,2834.4
USA,2019-04,3.6,1.99644,21.56,2848.63,2949.52,2848.63,2945.83
USA,2019-05,3.6,1.790228,21.15,2952.33,2954.13,2750.52,2752.06
USA,2019-06,3.6,1.648485,21.37,2751.53,2964.15,2728.81,2941.76
USA,2019-07,3.7,1.811465,22.28,2971.41,3027.98,2952.22,2980.38
USA,2019-08,3.7,1.74978,21.67,2980.32,3013.59,2822.12,2926.46
USA,2019-09,3.5,1.711305,22.44,2909.01,3021.99,2891.85,2976.74
USA,2019-10,3.6,1.764043,22.04,2983.69,3050.1,2855.94,3037.56
USA,2019-11,3.6,2.051278,22.62,3050.72,3154.26,3050.72,3140.98
USA,2019-12,3.6,2.28513,22.78,3143.85,3247.93,3070.33,3230.78
USA,2020-01,3.5,2.486572,24.88,3244.67,3337.77,3214.64,3225.52
USA,2020-02,3.5,2.334874,26.42,3235.66,3393.52,2855.84,2954.22
USA,2020-03,4.4,1.539327,22.8,2974.28,3136.72,2191.86,2584.59
USA,2020-04,14.7,0.3290967,24.97,2498.08,2954.86,2447.49,2912.43
USA,2020-05,13.2,0.1179264,27.82,2869.09,3068.67,2766.64,3044.31
USA,2020-06,11,0.6457331,31.29,3038.78,3233.13,2965.66,3100.29
USA,2020-07,10.2,0.9860818,32.44,3105.92,3279.99,3101.17,3271.12
USA,2020-08,8.4,1.309645,34.41,3288.26,3514.77,3284.53,3500.31
USA,2020-09,7.9,1.371325,34.27,3507.44,3588.11,3209.45,3363
USA,2020-10,6.9,1.182066,35.3,3385.87,3549.85,3233.94,3269.96
USA,2020-11,6.7,1.174536,37.16,3296.2,3645.99,3279.74,3621.63
USA,2020-12,6.7,1.362005,39.26,3645.87,3760.2,3633.4,3756.07
USA,2021-01,6.4,1.39977,35.96,3764.61,3870.9,3662.71,3714.24
USA,2021-02,6.2,1.676215,33.24,3731.17,3950.43,3725.62,3811.15
USA,2021-03,6,2.619762,30.5,3842.51,3994.41,3723.34,3972.89
USA,2021-04,6,4.159695,29.92,3992.78,4218.78,3992.78,4181.17
USA,2021-05,5.8,4.992707,28.05,4191.98,4238.04,4056.88,4204.11
USA,2021-06,5.9,5.391451,26.7,4216.52,4302.43,4164.4,4297.5
USA,2021-07,5.4,5.365475,26.56,4300.73,4429.97,4233.13,4395.26
USA,2021-08,5.2,5.251272,26.23,4406.86,4537.36,4367.73,4522.68
USA,2021-09,4.7,5.390349,24.39,4528.8,4545.85,4305.91,4307.54
USA,2021-10,4.6,6.221869,24.52,4317.16,4608.08,4278.94,4605.38
USA,2021-11,4.2,6.809003,23.63,4610.62,4743.83,4560,4567
USA,2021-12,3.9,7.036403,23.11,4602.82,4808.93,4495.12,4766.18
USA,2022-01,4,,22.42,4778.14,4818.62,4222.62,4515.55
USA,2022-02,3.8,,22.19,4519.57,4595.31,4114.65,4373.94
USA,2022-03,3.6,,22.19,4363.14,4637.3,4157.87,4530.41
USA,2022-04,3.6,,20.42,4540.32,4593.45,4124.28,4131.93
USA,2022-05,3.6,,19.7,4130.61,4307.66,3810.32,4132.15
USA,2022-06,3.6,,19.77,4149.78,4177.51,3636.87,3785.38
USA,2022-07,3.5,,21.01,3781.08,4140.15,3721.56,4130.29
USA,2022-08,3.7,,19.94,4112.38,4325.28,3954.53,3955
