LOCATION,TIME,Unemployment,CPI,P/E,Open,High,Low,Close
USA,1995-09,5.6,2.543507,16.45,563.84,587.61,561.01,584.41
USA,1995-10,5.5,2.809365,16.76,581.72,590.66,571.55,581.5
USA,1995-11,5.6,2.60521,17.33,584.22,608.69,581.04,605.37
USA,1995-12,5.6,2.53841,18.1,606.98,622.88,605.05,615.93
USA,1996-01,5.6,2.727878,18.08,620.73,636.18,597.29,636.02
USA,1996-02,5.5,2.650762,19.1,638.46,664.23,633.71,640.43
USA,1996-03,5.5,2.840158,19.01,644.37,656.97,627.63,645.5
USA,1996-04,5.6,2.896642,18.85,653.73,656.68,624.14,654.17
USA,1996-05,5.6,2.890933,19.1,654.58,681.1,630.07,669.12
USA,1996-06,5.3,2.754098,19.15,667.68,680.32,658.75,670.63
USA,1996-07,5.5,2.95082,18.26,675.88,675.88,605.88,639.95
USA,1996-08,5.1,2.877698,18.6,650.02,670.68,639.49,651.99
USA,1996-09,5.2,3.002611,18.75,654.72,690.88,643.97,687.31
USA,1996-10,5.2,2.992843,19,689.08,714.1,684.44,705.27
USA,1996-11,5.4,3.255208,19.45,703.77,762.12,701.3,757.02
USA,1996-12,5.4,3.322476,19.19,756.56,761.75,716.69,740.74
USA,1997-01,5.3,3.044041,19.53,737.01,794.67,729.55,786.16
USA,1997-02,5.2,3.034216,20.09,786.73,817.68,773.43,790.82
USA,1997-03,5.2,2.761721,19.69,795.31,814.9,756.13,757.12
USA,1997-04,5.1,2.495202,18.94,759.64,804.13,733.54,801.34
USA,1997-05,4.9,2.234994,20.6,798.53,851.87,793.21,848.28
USA,1997-06,5,2.297384,21.61,846.36,902.09,838.82,885.14
USA,1997-07,4.9,2.229299,22.8,891.03,957.73,884.54,954.29
USA,1997-08,4.8,2.225048,22.83,947.14,964.17,893.34,899.47
USA,1997-09,4.9,2.154626,23.06,927.58,960.59,899.47,947.28
USA,1997-10,4.7,2.084649,23.58,955.41,983.12,855.27,914.62
USA,1997-11,4.6,1.828499,23.46,938.99,964.55,900.61,955.4
USA,1997-12,4.7,1.702396,24.23,974.78,986.25,924.92,970.43
USA,1998-01,4.6,1.571339,24.29,975.04,992.65,912.83,980.28
USA,1998-02,4.6,1.441103,25.85,1001.27,1051.66,980.28,1049.34
USA,1998-03,4.7,1.375,27.23,1047.7,1113.07,1030.87,1101.75
USA,1998-04,4.3,1.435705,28.26,1108.15,1132.98,1076.7,1111.75
USA,1998-05,4.4,1.686446,28.3,1121,1130.52,1074.39,1090.82
USA,1998-06,4.5,1.684342,28.44,1090.98,1145.15,1074.67,1133.84
USA,1998-07,4.5,1.682243,29.9,1148.56,1190.58,1114.3,1120.67
USA,1998-08,4.5,1.616915,28,1112.44,1121.79,957.28,957.28
USA,1998-09,4.6,1.488834,26.8,994.26,1066.11,939.98,1017.01
USA,1998-10,4.5,1.485149,27.2,986.39,1103.78,923.32,1098.67
USA,1998-11,4.4,1.547988,30.25,1111.6,1192.97,1098.67,1163.63
USA,1998-12,4.4,1.611903,31.56,1175.28,1244.93,1136.89,1229.23
USA,1999-01,4.3,1.670792,32.92,1228.1,1280.37,1205.46,1279.64
USA,1999-02,4.4,1.60593,32.67,1273,1283.84,1211.89,1238.33
USA,1999-03,4.2,1.726264,33.39,1236.16,1323.82,1216.03,1286.37
USA,1999-04,4.3,2.276923,34,1293.72,1371.56,1282.56,1335.18
USA,1999-05,4.2,2.088452,33.19,1354.63,1375.98,1277.31,1301.84
USA,1999-06,4.3,1.96319,32.24,1294.26,1372.93,1277.47,1372.71
USA,1999-07,4.3,2.144608,32.88,1380.96,1420.33,1328.49,1328.72
USA,1999-08,4.2,2.264382,30.89,1328.05,1382.84,1267.73,1320.41
USA,1999-09,4.2,2.628362,29.99,1331.07,1361.35,1256.26,1282.71
USA,1999-10,4.1,2.560976,28.66,1282.81,1373.17,1233.7,1362.93
USA,1999-11,4.1,2.621951,29.74,1354.12,1425.31,1346.41,1388.91
